Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE ПвБП 3х35/16ТАСг - 10кВ,"4 115,0","51,0","
№ 14а — 130 м№ 17а — 375 м№ 17 — 315 м№ 18 — 340 м№ 18а — 460 м№ 20б — 285 м№ 20а — 690 м№ 20 — 510 м№ 22 — 655 м№ 22а — 550 м№ 22б — 375 м№ 22в — 750 м№ 25 — 1150 м№ 26 — 1635 м

",12
ELKACABLE ПвБП 3х35/16ТАСг - 20кВ,"5 320,0","61,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",9
ELKACABLE ПвБП 3х35/16ТАСг - 6кВ,"3 665,0","47,0","
№ 14 — 270 м№ 14а — 150 м№ 16а — 175 м№ 16 — 165 м№ 17 — 370 м№ 17а — 440 м№ 18б — 490 м№ 18а — 535 м№ 18 — 400 м№ 20 — 595 м№ 20а — 810 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",13
ELKACABLE ПвБП 3х50/35ТАСг - 10кВ,"4 810,0","54,0","
№ 14а — 120 м№ 17 — 290 м№ 17а — 350 м№ 18 — 315 м№ 18а — 425 м№ 20б — 265 м№ 20а — 640 м№ 20 — 470 м№ 22 — 610 м№ 22а — 510 м№ 22б — 350 м№ 22в — 700 м№ 25 — 1060 м№ 26 — 1515 м

",10
ELKACABLE ПвБП 3х50/35ТАСг - 20кВ,"6 070,0","64,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",8
ELKACABLE ПвБП 3х50/35ТАСг - 35кВ,"8 205,0","78,0","
№ 20 — 215 м№ 20б — 120 м№ 22в — 320 м№ 22б — 160 м№ 22а — 235 м№ 22 — 275 м№ 25 — 485 м№ 26 — 690 м

",6
ELKACABLE ПвБП 3х50/35ТАСг - 6кВ,"4 310,0","50,0","
№ 14 — 250 м№ 14а — 140 м№ 16а — 155 м№ 16 — 150 м№ 17 — 340 м№ 17а — 405 м№ 18б — 450 м№ 18а — 495 м№ 18 — 370 м№ 20 — 550 м№ 20а — 750 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",11
ELKACABLE ПвБП 3х70/35ТАСг - 10кВ,"5 735,0","58,0","
№ 14а — 100 м№ 17 — 250 м№ 17а — 300 м№ 18 — 270 м№ 18а — 370 м№ 20б — 230 м№ 20а — 555 м№ 20 — 410 м№ 22 — 530 м№ 22а — 440 м№ 22б — 300 м№ 22в — 605 м№ 25 — 920 м№ 26 — 1315 м

",8
ELKACABLE ПвБП 3х70/35ТАСг - 20кВ,"7 040,0","68,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",7
ELKACABLE ПвБП 3х70/35ТАСг - 35кВ,"9 320,0","82,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",5
